50.000000 40.000000 60.000000 30.000000 20.000000 
48.494472 41.599053 63.721140 29.577410 22.196550 
49.958828 41.041844 66.178443 29.810623 21.468323 
48.353878 38.812525 71.649911 32.048983 20.943387 
51.018582 42.558677 71.661401 34.140255 21.280849 
52.900242 45.733065 82.217958 33.551430 21.795827 
49.526987 48.343193 92.424807 36.395663 21.365921 
50.314411 49.556075 97.721783 37.197080 20.119324 
47.919123 46.563413 98.533021 37.033625 19.633644 
51.920063 47.672194 104.083740 38.736606 20.181166 
55.981035 45.243213 110.974111 42.789919 23.618354 
53.534172 44.700253 109.044917 40.543566 22.823091 
51.749794 41.930962 113.925564 37.952157 22.711387 
52.134506 43.209418 107.458366 37.030347 23.247274 
55.756037 46.094356 114.391566 37.318046 23.863749 
55.136096 43.444977 116.965074 35.977826 23.557047 
56.595108 47.400817 126.943146 38.661641 23.123821 
54.363410 44.810209 125.351922 39.079821 22.316163 
50.224095 43.627643 107.055860 37.358798 21.433640 
55.097226 45.304942 108.479969 37.586619 22.114022 
51.748648 44.053584 103.578583 36.214063 20.855874 
52.416978 43.003126 106.843711 33.352441 21.211192 
48.524694 45.321170 105.947098 33.210982 21.500386 
49.814737 46.639262 105.259401 33.616152 21.728678 
46.835676 43.634081 103.747878 31.479602 21.782640 
